role,scenario_index,iterations,relative_residual,converged,reason,dtype,device
forward,0,225,9.880164372320056e-07,True,CONVERGED,float64,cuda:0
forward,1,294,9.83771419594861e-07,True,CONVERGED,float64,cuda:0
forward,2,294,9.837714263042086e-07,True,CONVERGED,float64,cuda:0
adjoint,0,223,9.281028003397344e-07,True,CONVERGED,float64,cuda:0
adjoint,1,290,9.80867917343275e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,9.808679096927099e-07,True,CONVERGED,float64,cuda:0
forward,0,226,9.54493609923124e-07,True,CONVERGED,float64,cuda:0
forward,1,294,9.085652970161198e-07,True,CONVERGED,float64,cuda:0
forward,2,294,9.086179551261623e-07,True,CONVERGED,float64,cuda:0
adjoint,0,223,9.496815762239251e-07,True,CONVERGED,float64,cuda:0
adjoint,1,290,9.931219182227057e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,9.931228638261855e-07,True,CONVERGED,float64,cuda:0
forward,0,252,9.890705935104559e-07,True,CONVERGED,float64,cuda:0
forward,1,295,8.786976528210379e-07,True,CONVERGED,float64,cuda:0
forward,2,295,8.790885031635517e-07,True,CONVERGED,float64,cuda:0
adjoint,0,224,9.078733526436304e-07,True,CONVERGED,float64,cuda:0
adjoint,1,291,9.380980588850288e-07,True,CONVERGED,float64,cuda:0
adjoint,2,291,9.380936384387483e-07,True,CONVERGED,float64,cuda:0
forward,0,254,9.239888352679866e-07,True,CONVERGED,float64,cuda:0
forward,1,300,9.73992656795481e-07,True,CONVERGED,float64,cuda:0
forward,2,300,9.744201180435117e-07,True,CONVERGED,float64,cuda:0
adjoint,0,251,9.98897344059111e-07,True,CONVERGED,float64,cuda:0
adjoint,1,292,9.144649705538297e-07,True,CONVERGED,float64,cuda:0
adjoint,2,292,9.1469162063955e-07,True,CONVERGED,float64,cuda:0
forward,0,255,8.640130562469781e-07,True,CONVERGED,float64,cuda:0
forward,1,304,9.602694073136002e-07,True,CONVERGED,float64,cuda:0
forward,2,304,9.602736701186324e-07,True,CONVERGED,float64,cuda:0
adjoint,0,252,9.913978492949998e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.254069756777253e-07,True,CONVERGED,float64,cuda:0
adjoint,2,293,9.255308427102739e-07,True,CONVERGED,float64,cuda:0
forward,0,255,9.109700011926839e-07,True,CONVERGED,float64,cuda:0
forward,1,305,9.368149978212617e-07,True,CONVERGED,float64,cuda:0
forward,2,305,9.36747071034717e-07,True,CONVERGED,float64,cuda:0
adjoint,0,253,9.9290561291185e-07,True,CONVERGED,float64,cuda:0
adjoint,1,294,9.866421462711734e-07,True,CONVERGED,float64,cuda:0
adjoint,2,294,9.864667194900377e-07,True,CONVERGED,float64,cuda:0
forward,0,255,9.33917236760333e-07,True,CONVERGED,float64,cuda:0
forward,1,305,9.197091559662631e-07,True,CONVERGED,float64,cuda:0
forward,2,305,9.195055836529065e-07,True,CONVERGED,float64,cuda:0
adjoint,0,254,9.022508431442147e-07,True,CONVERGED,float64,cuda:0
adjoint,1,296,9.516533675695857e-07,True,CONVERGED,float64,cuda:0
adjoint,2,296,9.491551850250034e-07,True,CONVERGED,float64,cuda:0
forward,0,255,9.653772359426136e-07,True,CONVERGED,float64,cuda:0
forward,1,304,9.67102299472314e-07,True,CONVERGED,float64,cuda:0
forward,2,304,9.664958710935422e-07,True,CONVERGED,float64,cuda:0
adjoint,0,254,9.182657147633034e-07,True,CONVERGED,float64,cuda:0
adjoint,1,295,9.56958185180566e-07,True,CONVERGED,float64,cuda:0
adjoint,2,295,9.461577661724842e-07,True,CONVERGED,float64,cuda:0
forward,0,257,9.009765199011166e-07,True,CONVERGED,float64,cuda:0
forward,1,303,9.574372162209107e-07,True,CONVERGED,float64,cuda:0
forward,2,303,9.56945785319518e-07,True,CONVERGED,float64,cuda:0
adjoint,0,254,9.49061092370127e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.478064083396079e-07,True,CONVERGED,float64,cuda:0
adjoint,2,289,9.683088051050939e-07,True,CONVERGED,float64,cuda:0
forward,0,272,9.226410511005705e-07,True,CONVERGED,float64,cuda:0
forward,1,301,9.622905566058006e-07,True,CONVERGED,float64,cuda:0
forward,2,301,9.606553509239831e-07,True,CONVERGED,float64,cuda:0
adjoint,0,269,9.611303894243845e-07,True,CONVERGED,float64,cuda:0
adjoint,1,297,9.654091188111032e-07,True,CONVERGED,float64,cuda:0
adjoint,2,297,9.6535348398501e-07,True,CONVERGED,float64,cuda:0
forward,0,270,9.854982877217508e-07,True,CONVERGED,float64,cuda:0
forward,1,297,9.858317045627604e-07,True,CONVERGED,float64,cuda:0
forward,2,297,9.853098734175322e-07,True,CONVERGED,float64,cuda:0
adjoint,0,266,9.413940514531554e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.47134743358408e-07,True,CONVERGED,float64,cuda:0
adjoint,2,289,9.42997694995481e-07,True,CONVERGED,float64,cuda:0
