task_index,task_id,candidate_tmax_scipy64,reference_tmax_scipy64,relative_gap,binary_material_fraction
0,8b3bfefc7f914f920a892edfb68771b9e81be78889f3dfc68dbfcc50b7d6a117,0.20408775143795255,0.17183342954906833,0.18770690879840557,0.25
1,85b8bba89f2470f302978c6c6db1ffc24f52fb4d224ca06284391ae31fb59a85,0.2183824023228475,0.16870454319908382,0.29446663487384656,0.25
2,2e9132acd0f83a92366f8dcf5a18e0bd2918f2c1f4a93b91c721141429f2d1c0,0.18192901794474864,0.15188174054805262,0.19783337541611598,0.25
3,32ef2ab494b8629eb36881798fcdb2e85199a388b2e87060792f5a44ef9ac591,0.18684961670031902,0.15239064823542695,0.2261225925862375,0.25
4,0f050ab14547e6e284f6566d25e74c57ea62d046ded41ebaf4e801533115cc35,0.1976988800447096,0.17226921584304056,0.14761583534947262,0.25
5,f0f63c6a8bd3208f35b547bf28e88af7f3ecfffceb100ccc304505f42b3c32ff,0.16294714575831487,0.13058262505163645,0.24784706766218303,0.25
6,ca65d9ce246df633c8807cb3d4d344809e2a59719834f085852b2881fc57062d,0.1605720441216187,0.12965838362842233,0.23842392314398572,0.25
7,050dd427b5bf0bf9dcef75ec4864547280b28aa793a5611a5ab2956002d9fff8,0.18796124502977563,0.157146278232343,0.196090974244215,0.25
8,46ed40b69c025bd39164d640cf34e9724ae4682637bca1284cb4b7957e942984,0.23147561392649257,0.17764827299813082,0.3029995170790549,0.25
9,569242322c9b5b2eee171be6732698fe9a21a5f2c1d9b84af8c8d8d97c8baa45,0.16217162056890733,0.13497284747960703,0.20151292350418662,0.25
10,d11fc9871c9f86468d4481918ceac9d3a8e08383a0e8e44d8ae90a668774d241,0.203846688738971,0.1899520586067581,0.07314808922907118,0.25
11,63011dbf6f9e9901fb8178b0af3d4847297f44cd71ef646910bea41baffc802e,0.22781972052609198,0.18303551525549538,0.24467494850976476,0.25
12,231ccab8ef938da783182ba3c69514454c399cdc8f359442fd2ebcc6a4cf6967,0.16740457769201864,0.1435142451754863,0.16646662836375384,0.25
13,66bc814a14e3750de55feaa939f6c3b0803be6f11f3c8469ea8fcd5604bf4f76,0.1382268098671725,0.10789739115707928,0.28109501429871486,0.25
14,4dc3e3682dd538e657a5e36d181f5886be516d4ca9f0765666d2fe443069ba07,0.1936303915499754,0.1605417593343006,0.20610607702867784,0.25
15,3dc71a8026cf176a7c2304ab6ef2b151580f3d0ea66c3fc8a469e7f1f9f6a6ee,0.2327428086477407,0.17732426417628736,0.312526572315895,0.25
16,2af2b400deeac908e49ee1451a4f8af6a1d2ec2e8958918eb34e36b663e6d4ad,0.2425280087872052,0.16476969892704485,0.4719211746244037,0.25
17,75f39e4eebb06b6785de01fb2a31fc571a2ec3456d92dbf09fce5f79d455196c,0.21398514703033422,0.18717481797662117,0.1432368378585081,0.25
18,f4ece7d737b76e01c5014072c3532767f34501ca99a6451cbad28a872cabfc78,0.21770298536855026,0.15605934059069407,0.3950013151698018,0.25
19,dcdae30491623e954cd149a0efb86d707466306eb0a513eed3def915f8e71443,0.18859343480075003,0.15890265771961543,0.1868488388251135,0.25
20,77059e75195a0b81facf226b4e071ddb158fb843893ade2f83035a3635d7e2e0,0.21563486085515376,0.15326454880439636,0.40694545827657397,0.25
21,4ab9eb5c9f7a0f55b84b696c757a64089ad3f4128876a5e93d434852691dc911,0.20206823948350316,0.15880572870889775,0.27242411924514814,0.25
22,91e6d9f16b8b0ca0071bdcf76165e97eb5b777a70d82236d7b3481c0a6afee9a,0.20914532246906348,0.1682633649030683,0.2429641032648199,0.25
23,e13cf57ce6e1026b692ce99a3c4ca73d63e0bb61c00a4b755f479383238ea02a,0.2058135690074634,0.15035898213577803,0.3688145934747579,0.25
24,5213fa694c90a9c22dc5fc9ff63cd6bc34702c4c53d5e66f028d306cf3f040d7,0.20175842575957792,0.1708241822410814,0.1810881990632891,0.25
25,5a97ee0cb94f0d9665b61d0e4e5538a05a1a6f69bd05b640b24c872cd449dc6a,0.1933137335391488,0.15141611670656283,0.2767051337988118,0.25
26,55c52cc6b6fe9d5239a60902fc27862dbc7e930495b2d2938360aea62cf7fc8f,0.22197851680913458,0.18009397821745807,0.23257045574895452,0.25
27,e65d6934aa137d0dc64d654f7586d1783bbd91fc1ab8bc25643c2d4071b60777,0.21471039930116706,0.16374642166801756,0.3112371990422776,0.25
28,0d00c9213318579b16d3289130e95b3c21287a73649de59dd40930755ce004e6,0.18579887528587435,0.16280062959914673,0.14126631907600531,0.25
29,f7e09d487ac9f9ba0c2caaed01edbb118d218894c0760c8542d17d2889e14bfe,0.22341816305867493,0.18401855132419326,0.21410673788573473,0.25
30,f0c0ff05e0da1d036f4e8ddc31979a99ddfd15b9ea96efb7f9adfc0428225071,0.1719046442962611,0.14272223024039693,0.2044699974678801,0.25
31,62ec0fa57d6e1d7c024679957b0c74ecae2d8520d9e5d7729e572a8ceaa8b1ca,0.22342238300223463,0.18244059167610788,0.22463088367353537,0.25
